,Rows,Columns,Class sep,N execution,Train acc sec,Test acc sec,Train acc clean,Test acc clean,Time sec,Time clean,Data sent,Global data sent
0,40.0,2.0,1.0,0.0,0.825,0.925,0.775,0.825,55.6677,0.770443,1326.26,3543.98
1,40.0,2.0,1.0,1.0,0.775,0.875,0.8,0.9,54.8989,0.705994,1326.26,3543.98
2,40.0,2.0,1.0,2.0,0.8,0.9,0.775,0.9,56.7613,0.681016,1326.26,3543.98
3,50.0,2.0,1.0,0.0,0.94,0.92,0.94,0.92,89.5433,1.21017,2203.04,5886.2
4,50.0,2.0,1.0,1.0,0.94,0.9,0.9,0.88,88.6268,1.1015,2203.04,5886.2
5,50.0,2.0,1.0,2.0,0.9,0.94,0.9,0.98,90.2806,0.988011,2203.04,5886.2
6,60.0,2.0,1.0,0.0,0.9666666666666667,0.9166666666666666,0.9166666666666666,0.8333333333333334,130.024,1.393022,3386.41,9047.21
7,60.0,2.0,1.0,1.0,0.9333333333333333,0.8666666666666667,0.9666666666666667,0.8833333333333333,128.418,1.424012,3386.41,9047.21
8,60.0,2.0,1.0,2.0,0.9666666666666667,0.8833333333333333,0.9333333333333333,0.8666666666666667,129.069,1.425412,3386.41,9047.21
9,70.0,2.0,1.0,0.0,0.9142857142857143,0.9142857142857143,0.9285714285714286,0.8857142857142857,174.918,1.913899,4625.46,12356.9
10,70.0,2.0,1.0,1.0,0.9142857142857143,0.9285714285714286,0.8857142857142857,0.8285714285714286,177.539,1.815015,4625.46,12356.9
11,70.0,2.0,1.0,2.0,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8857142857142857,181.559,1.898996,4625.46,12356.9
12,80.0,2.0,1.0,0.0,0.9,0.8375,0.9,0.85,236.132,2.60306,6470.3,17284.4
13,80.0,2.0,1.0,1.0,0.9,0.8375,0.9,0.85,241.11,2.593462,6470.3,17284.4
14,80.0,2.0,1.0,2.0,0.8875,0.8625,0.9,0.85,240.763,2.479644,6470.3,17284.4
15,90.0,2.0,1.0,0.0,0.8555555555555555,0.8222222222222222,0.8777777777777778,0.8555555555555555,298.918,3.98308,8249.58,22036.7
16,90.0,2.0,1.0,1.0,0.8555555555555555,0.8111111111111111,0.9,0.8888888888888888,302.172,3.57963,8249.58,22036.7
17,90.0,2.0,1.0,2.0,0.9,0.9,0.8777777777777778,0.8666666666666667,303.431,3.125418,8249.58,22036.7
18,100.0,2.0,1.0,0.0,0.83,0.89,0.76,0.81,387.152,3.778021,10271.5,27436.9
19,100.0,2.0,1.0,1.0,0.89,0.88,0.78,0.82,386.865,3.768683,10271.5,27436.9
20,100.0,2.0,1.0,2.0,0.9,0.88,0.86,0.91,392.346,3.876595,10271.5,27436.9
21,100.0,3.0,1.0,0.0,0.8,0.81,0.85,0.89,399.125,3.931161,11849.5,31649.4
22,100.0,3.0,1.0,1.0,0.86,0.9,0.84,0.84,394.935,3.912235,11849.5,31649.4
23,100.0,3.0,1.0,2.0,0.86,0.91,0.83,0.89,402.949,3.769809,11849.5,31649.4
24,100.0,4.0,1.0,0.0,0.88,0.88,0.83,0.84,409.333,3.987068,12149.7,32450.0
25,100.0,4.0,1.0,1.0,0.87,0.88,0.85,0.87,415.632,3.778241,12149.7,32450.0
26,100.0,4.0,1.0,2.0,0.84,0.79,0.88,0.88,421.005,3.84989,12149.7,32450.0
27,100.0,5.0,1.0,0.0,0.87,0.92,0.87,0.9,423.751,3.819155,12990.5,34694.4
28,100.0,5.0,1.0,1.0,0.9,0.9,0.88,0.91,422.95,3.946311,12990.5,34694.4
29,100.0,5.0,1.0,2.0,0.87,0.89,0.89,0.9,425.371,3.898731,12990.5,34694.4
30,100.0,6.0,1.0,0.0,0.94,0.91,0.93,0.89,673.262,3.798929,13858.1,37010.3
31,100.0,6.0,1.0,1.0,0.91,0.88,0.95,0.91,685.462,3.701583,13858.1,37010.3
32,100.0,6.0,1.0,2.0,0.94,0.93,0.92,0.9,682.154,3.744082,13858.1,37010.3
33,100.0,7.0,1.0,0.0,0.91,0.8,0.91,0.79,677.585,3.739825,14020.9,37444.4
34,100.0,7.0,1.0,1.0,0.91,0.74,0.91,0.8,697.843,3.810868,14020.9,37444.4
35,100.0,7.0,1.0,2.0,0.91,0.78,0.91,0.8,693.874,3.779619,14020.9,37444.4
36,100.0,8.0,1.0,0.0,0.87,0.81,0.87,0.8,698.51,3.731618,14184.5,37880.6
37,100.0,8.0,1.0,1.0,0.87,0.81,0.87,0.8,700.339,3.84461,14184.5,37880.6
38,100.0,8.0,1.0,2.0,0.89,0.78,0.9,0.8,707.018,3.895028,14184.5,37880.6
39,100.0,9.0,1.0,0.0,0.91,0.9,0.87,0.85,715.261,3.783134,14347.3,38314.7
40,100.0,9.0,1.0,1.0,0.95,0.93,0.87,0.84,714.868,3.768409,14347.3,38314.7
41,100.0,9.0,1.0,2.0,0.94,0.95,0.91,0.92,718.705,3.776378,14347.3,38314.7
42,100.0,10.0,1.0,0.0,0.96,0.95,0.95,0.89,724.369,3.755721,15090.5,40298.8
43,100.0,10.0,1.0,1.0,0.97,0.92,0.94,0.9,724.061,3.832778,15090.5,40298.8
44,100.0,10.0,1.0,2.0,0.97,0.95,0.97,0.9,724.42,3.82357,15090.5,40298.8
45,100.0,2.0,0.4,0.0,0.69,0.6466666666666666,0.68,0.6666666666666666,375.031,3.72579,10271.5,27436.9
46,100.0,2.0,0.4,1.0,0.72,0.76,0.71,0.7533333333333333,372.385,3.696779,10271.5,27436.9
47,100.0,2.0,0.4,2.0,0.73,0.74,0.77,0.7266666666666667,376.532,3.875166,10271.5,27436.9
48,100.0,2.0,0.4,3.0,0.81,0.7533333333333333,0.71,0.68,386.592,4.18135,10271.5,27436.9
49,100.0,2.0,0.4,4.0,0.78,0.76,0.78,0.7733333333333333,382.597,3.815193,10271.5,27436.9
50,100.0,2.0,0.4,5.0,0.68,0.66,0.67,0.68,374.246,4.41661,10271.5,27436.9
51,100.0,2.0,0.4,6.0,0.65,0.6333333333333333,0.63,0.66,386.521,3.845476,10271.5,27436.9
52,100.0,2.0,0.4,7.0,0.58,0.68,0.58,0.7133333333333334,382.953,3.84559,10271.5,27436.9
53,100.0,2.0,0.4,8.0,0.84,0.8066666666666666,0.84,0.8,378.471,3.734312,10271.5,27436.9
