,Rows,Columns,Class sep,Train acc sec Ex0,Test acc sec Ex0,Train acc clean Ex0,Test acc clean Ex0,Time sec Ex0,Time clean Ex0,Data sent Ex0,Global data sent Ex0,Train acc sec Ex1,Test acc sec Ex1,Train acc clean Ex1,Test acc clean Ex1,Time sec Ex1,Time clean Ex1,Data sent Ex1,Global data sent Ex1,Train acc sec Ex2,Test acc sec Ex2,Train acc clean Ex2,Test acc clean Ex2,Time sec Ex2,Time clean Ex2,Data sent Ex2,Global data sent Ex2
0,40.0,2.0,1.0,0.825,0.925,0.825,0.925,55.6677,0.789023,1326.26,3543.98,0.775,0.875,0.825,0.9,54.8989,0.776999,1326.26,3543.98,0.8,0.9,0.8,0.925,56.7613,0.852995,1326.26,3543.98
1,50.0,2.0,1.0,0.94,0.92,0.9,0.88,89.5433,1.223971,2203.04,5886.2,0.94,0.9,0.86,0.94,88.6268,1.231998,2203.04,5886.2,0.9,0.94,0.88,0.94,90.2806,1.170001,2203.04,5886.2
2,60.0,2.0,1.0,0.9666666666666667,0.9166666666666666,0.9666666666666667,0.8833333333333333,130.024,1.774987,3386.41,9047.21,0.9333333333333333,0.8666666666666667,0.95,0.85,128.418,1.62702,3386.41,9047.21,0.9666666666666667,0.8833333333333333,0.9666666666666667,0.8833333333333333,129.069,1.717016,3386.41,9047.21
3,70.0,2.0,1.0,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,174.918,2.203007,4625.46,12356.9,0.9142857142857143,0.9285714285714286,0.9142857142857143,0.9,177.539,2.155048,4625.46,12356.9,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9,181.559,2.458984,4625.46,12356.9
4,80.0,2.0,1.0,0.9,0.8375,0.9,0.85,236.132,2.860022,6470.3,17284.4,0.9,0.8375,0.9,0.875,241.11,2.843069,6470.3,17284.4,0.8875,0.8625,0.9,0.8875,240.763,2.969018,6470.3,17284.4
5,90.0,2.0,1.0,0.8555555555555555,0.8222222222222222,0.8555555555555555,0.7222222222222222,298.918,3.627999,8249.58,22036.7,0.8555555555555555,0.8111111111111111,0.9,0.8666666666666667,302.172,3.730999,8249.58,22036.7,0.9,0.9,0.9,0.9,303.431,3.741998,8249.58,22036.7
6,100.0,2.0,1.0,0.83,0.89,0.88,0.86,387.152,5.184085,10271.5,27436.9,0.89,0.88,0.89,0.89,386.865,4.474018,10271.5,27436.9,0.9,0.88,0.9,0.87,392.346,4.744003,10271.5,27436.9
7,100.0,3.0,1.0,0.8,0.81,0.82,0.83,399.125,4.264023,11849.5,31649.4,0.86,0.9,0.82,0.79,394.935,4.520208,11849.5,31649.4,0.86,0.91,0.85,0.88,402.949,4.686987,11849.5,31649.4
8,100.0,4.0,1.0,0.88,0.88,0.84,0.86,409.333,4.819491,12149.7,32450.0,0.87,0.88,0.88,0.89,415.632,5.69997,12149.7,32450.0,0.84,0.79,0.88,0.88,421.005,4.662971,12149.7,32450.0
9,100.0,5.0,1.0,0.87,0.92,0.9,0.91,423.751,4.489997,12990.5,34694.4,0.9,0.9,0.86,0.89,422.95,4.450994,12990.5,34694.4,0.87,0.89,0.85,0.83,425.371,4.71802,12990.5,34694.4
10,100.0,6.0,1.0,0.94,0.91,0.94,0.91,673.262,5.23995,13858.1,37010.3,0.91,0.88,0.91,0.89,685.462,4.552019,13858.1,37010.3,0.94,0.93,0.92,0.9,682.154,4.615022,13858.1,37010.3
11,100.0,7.0,1.0,0.91,0.8,0.89,0.79,677.585,4.691538,14020.9,37444.4,0.91,0.74,0.9,0.8,697.843,4.674009,14020.9,37444.4,0.91,0.78,0.9,0.76,693.874,4.493017,14020.9,37444.4
12,100.0,8.0,1.0,0.87,0.81,0.9,0.79,698.51,4.670023,14184.5,37880.6,0.87,0.81,0.82,0.79,700.339,4.872009,14184.5,37880.6,0.89,0.78,0.89,0.8,707.018,4.45402,14184.5,37880.6
13,100.0,9.0,1.0,0.91,0.9,0.95,0.93,715.261,4.628012,14347.3,38314.7,0.95,0.93,0.88,0.85,714.868,4.328547,14347.3,38314.7,0.94,0.95,0.85,0.81,718.705,4.697044,14347.3,38314.7
14,100.0,10.0,1.0,0.96,0.95,0.96,0.89,724.369,4.561076,15090.5,40298.8,0.97,0.92,0.9,0.82,724.061,4.501005,15090.5,40298.8,0.97,0.95,0.94,0.95,724.42,4.822058,15090.5,40298.8
